,activation_code,total_time_spent,NPS_repgrid,NPS_identity,age,num_kids,stress_score,gender,marital_status,rep_grid_elements_id,stressful_situation_rating,rep_grid_matrix,interesting_rating_repgrid_output1,learnt_score_repgrid_output1,interesting_rating_repgrid_output2,learnt_score_repgrid_output2,do_you_want_to_improve_output2,interesting_rating_repgrid_output3,learnt_score_repgrid_output3,do_you_want_to_improve_output3,interesting_rating_repgrid_output4,learnt_score_repgrid_output4,do_you_want_to_improve_output4,feeling_repgrid_activity,comments_repgrid_activity,core_identity,middle_identity,outer_identity,learnt_score_identity_activity,interesting_score_identity_activity,feeling_identity_activity,comments_identity_activity,identity_consistency_score,cumulative_time_per_page,repgrid_output1_constructs,repgrid_output1_elements,repgrid_output4,repgrid_output2,repgrid_output3_good_constructs,repgrid_output3_bad_constructs,repgrid_output3_bad_elements
67,8KYyfn5t ,14,6,5,33,0,17,Male,Married,"[0, 1, 12, 10, 13, 11]","[1, 0, 1, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 1]","[array([5, 7, 3, 2, 4, 4]), array([6, 6, 2, 2, 5, 5]), array([6, 4, 4, 6, 5, 5]), array([5, 6, 5, 4, 5, 5]), array([5, 6, 4, 6, 5, 5]), array([5, 7, 6, 6, 5, 5]), array([3, 5, 4, 5, 3, 3]), array([3, 6, 3, 4, 5, 5]), array([5, 5, 5, 6, 5, 5]), array([5, 6, 5, 3, 6, 5])]",Disagree,Disagree,Agree,Strongly Disagree,Yes,Strongly agree,Disagree,Yes,Agree,Agree,Yes,Same,It gives a little perspective but I knew most of this anyway,"['punctual', 'helpful', 'influential']","['unhelpful', 'liberal', 'following', 'independent', 'delayed']","['delayed', 'organised', 'independent', 'playful', 'compromising', 'unhelpful', 'following', 'slowpaced', 'liberal', 'thoughtful', 'hardworking']",Disagree,Disagree,Same,Nothing new learned here.},0.8518518518518517,"[0.0, 0.26666666666666666, 0.4166666666666667, 0.6333333333333333, 2.7333333333333334, 3.716666666666667, 6.45, 6.516666666666667, 6.75, 7.65, 8.0, 8.883333333333333, 9.333333333333334, 9.933333333333334, 10.433333333333334, 10.866666666666667, 11.433333333333334, 11.966666666666667, 12.466666666666667, 12.9, 13.383333333333333, 13.466666666666667, 14.216666666666667, 14.7, 15.4, 15.766666666666667, 16.866666666666667, 16.9, 17.15, 17.766666666666666, 18.3, 18.55, 18.633333333333333]","['not confident / confident', 'unambitious / motivated']","[11, 13]",-0.046829290579084734,-0.06365879663117095,"['selfish / generous', 'boring / fun', 'stubborn / docile', 'not understanding / understanding']","['uncaring / caring', 'unfriendly / friendly', 'not confident / confident']","[12, 10]"
68,MMllb0fu ,16,10,10,44,1,10,Male,Married,"[0, 1, 12, 13, 2, 9]","[3, 1, 3, 3, 1, 1, 2, 1, 3, 3, 1, 1, 3, 3, 0, 3]","[array([6, 7, 5, 6, 6, 6]), array([6, 7, 6, 7, 7, 7]), array([6, 6, 6, 7, 7, 6]), array([7, 7, 7, 7, 7, 7]), array([6, 6, 6, 7, 7, 7]), array([6, 7, 7, 6, 6, 6]), array([5, 2, 6, 2, 3, 4]), array([6, 7, 6, 7, 6, 6]), array([5, 7, 7, 6, 6, 6]), array([5, 7, 5, 6, 5, 7])]",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Strongly agree,Strongly agree,Yes,Strongly agree,Strongly agree,Yes,Better,No,"['punctual', 'helpful', 'thoughtful']","['delayed', 'spontaneous', 'teamplayer', 'unhelpful', 'slowpaced']","['delayed', 'organised', 'teamplayer', 'playful', 'compromising', 'unhelpful', 'influential', 'slowpaced', 'conservative', 'spontaneous', 'lazy']",Strongly agree,Strongly agree,Better,Very useful},0.5277777777777777,"[0.0, 0.1, 0.25, 0.36666666666666664, 1.3833333333333333, 1.4333333333333333, 3.3833333333333333, 3.5, 3.533333333333333, 4.95, 5.166666666666667, 5.6, 6.333333333333333, 7.05, 7.55, 7.883333333333334, 8.25, 9.766666666666667, 11.916666666666666, 12.15, 12.566666666666666, 12.6, 12.9, 13.266666666666667, 13.716666666666667, 13.983333333333333, 14.7, 14.716666666666667, 14.75, 15.3, 16.133333333333333, 16.75, 16.766666666666666]","['not understanding / understanding', 'quiet / talkative']","[13, 9]",0.4036036763977875,0.5765032393619862,"['stubborn / docile', 'unambitious / motivated', 'not confident / confident']",[],[]
69,UrX8AJFh ,15,10,10,40,0,23,Female,Single,"[0, 1, 5, 4, 7, 8]","[2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 0, 3, 3, 3]","[array([4, 6, 6, 2, 2, 1]), array([7, 5, 6, 1, 3, 1]), array([6, 4, 6, 5, 3, 3]), array([6, 5, 7, 3, 1, 1]), array([6, 4, 5, 1, 1, 1]), array([2, 5, 5, 2, 2, 1]), array([2, 4, 7, 1, 1, 5]), array([7, 7, 7, 5, 4, 2]), array([3, 5, 6, 2, 1, 2]), array([2, 6, 5, 1, 2, 1])]",Strongly agree,Agree,Strongly agree,Strongly agree,Yes,Strongly agree,Strongly agree,Yes,Strongly agree,Strongly agree,Yes,Better,I really liked that I could see where I was in each situation. It helped me to see patterns in my behaviour where I feel bad about myself and what influences them.,"['independent', 'liberal', 'playful']","['teamplayer', 'conservative', 'serious', 'unhelpful', 'slowpaced']","['delayed', 'organised', 'teamplayer', 'serious', 'compromising', 'unhelpful', 'following', 'slowpaced', 'conservative', 'spontaneous', 'hardworking']",Agree,Strongly agree,Better,It was good to think about how I actually am than how I wish I was! },3.685185185185185,"[0.0, 0.1, 0.6833333333333333, 1.15, 2.716666666666667, 2.8, 5.066666666666666, 5.133333333333334, 5.7, 6.466666666666667, 7.0, 7.416666666666667, 7.783333333333333, 8.033333333333333, 8.516666666666667, 9.25, 9.566666666666666, 9.866666666666667, 10.85, 11.166666666666666, 12.25, 12.8, 14.4, 15.083333333333334, 17.433333333333334, 18.716666666666665, 20.383333333333333, 20.45, 21.166666666666668, 21.583333333333332, 22.566666666666666, 22.8, 22.85]","['unfriendly / friendly', 'unambitious / motivated']","[4, 5]",0.07900757718999622,0.12046163773620544,"['uncaring / caring', 'selfish / generous', 'stubborn / docile']","['unfriendly / friendly', 'not understanding / understanding']","[5, 4, 7, 8]"
70,ZYmjdWI2 ,15,4,5,46,2,9,Female,Married,"[0, 1, 12, 11, 9, 6]","[1, 1, 3, 1, 2, 2, 1, 0, 1, 2, 1, 1, 3, 2, 0, 1]","[array([5, 7, 7, 6, 2, 4]), array([7, 7, 6, 6, 4, 7]), array([5, 7, 5, 6, 6, 7]), array([6, 7, 6, 6, 6, 6]), array([6, 5, 6, 6, 5, 6]), array([6, 6, 6, 5, 6, 6]), array([5, 4, 5, 5, 3, 5]), array([5, 7, 6, 6, 6, 6]), array([5, 7, 5, 6, 3, 6]), array([5, 7, 5, 6, 4, 6])]",Agree,Disagree,Agree,Disagree,Yes,Agree,Agree,Yes,Disagree,Disagree,No,Same,Didn’t really learn a lot that i didn’t know already ,"['teamplayer', 'thoughtful', 'fast-paced']","['independent', 'conservative', 'following', 'slowpaced', 'spontaneous']","['delayed', 'cluttered', 'independent', 'serious', 'opinionated', 'unhelpful', 'following', 'slowpaced', 'conservative', 'spontaneous', 'lazy']",Agree,Agree,Same,Again I didn’t really learn that much },0.8549382716049382,"[0.0, 0.11666666666666667, 0.26666666666666666, 0.36666666666666664, 1.5333333333333334, 1.6333333333333333, 3.933333333333333, 3.9833333333333334, 4.1, 4.883333333333334, 5.033333333333333, 5.583333333333333, 6.266666666666667, 6.85, 7.266666666666667, 7.783333333333333, 8.316666666666666, 8.783333333333333, 9.266666666666667, 9.75, 10.416666666666666, 10.483333333333333, 11.116666666666667, 11.9, 12.45, 12.8, 13.766666666666667, 13.8, 14.083333333333334, 14.75, 15.233333333333333, 15.616666666666667, 15.683333333333334]","['not understanding / understanding', 'unfriendly / friendly']","[1, 6]",0.0,0.2580928779185661,"['unsuccessful / successful', 'selfish / generous', 'not understanding / understanding', 'unambitious / motivated', 'not confident / confident']","['uncaring / caring', 'stubborn / docile']",[9]
71,jzYPp1g9 ,11,6,6,36,3,29,Female,Married,"[0, 1, 12, 8, 2, 9]","[2, 0, 3, 3, 3, 2, 3, 2, 2, 2, 0, 2, 2, 0, 2, 2]","[array([4, 6, 4, 1, 5, 5]), array([5, 7, 6, 3, 6, 5]), array([3, 7, 4, 3, 5, 4]), array([4, 7, 6, 4, 6, 5]), array([5, 7, 5, 4, 6, 5]), array([1, 7, 1, 1, 1, 1]), array([1, 4, 1, 1, 1, 1]), array([5, 7, 6, 5, 6, 5]), array([1, 7, 1, 1, 1, 1]), array([3, 7, 4, 1, 5, 5])]",Disagree,Disagree,Disagree,Disagree,Yes,Agree,Agree,Yes,Agree,Agree,Yes,Same,No comments ,"['thoughtful', 'organised', 'hardworking']","['teamplayer', 'lazy', 'cluttered', 'spontaneous', 'slowpaced']","['delayed', 'cluttered', 'teamplayer', 'playful', 'opinionated', 'unhelpful', 'influential', 'slowpaced', 'conservative', 'spontaneous', 'lazy']",Agree,Agree,Same,No comments },2.4166666666666665,"[0.0, 0.03333333333333333, 0.13333333333333333, 0.16666666666666666, 0.8, 0.85, 2.283333333333333, 2.316666666666667, 2.433333333333333, 2.85, 3.066666666666667, 5.2, 5.483333333333333, 5.966666666666667, 6.2, 10.05, 10.266666666666667, 10.466666666666667, 10.7, 10.866666666666667, 11.016666666666667, 11.033333333333333, 11.316666666666666, 11.65, 12.133333333333333, 12.25, 12.816666666666666, 12.833333333333334, 12.85, 13.183333333333334, 13.416666666666666, 13.583333333333334, 13.616666666666667]","['stubborn / docile', 'unambitious / motivated']","[0, 1]",0.3955199260527363,0.42342300886636186,"['unsuccessful / successful', 'uncaring / caring', 'selfish / generous', 'unfriendly / friendly', 'quiet / talkative', 'not understanding / understanding', 'not confident / confident']",[],[]
72,7RABas3b ,13,7,7,32,0,13,Male,Single,"[0, 1, 2, 13, 12, 9]","[1, 0, 0, 2, 0, 0, 2, 1, 3, 2, 0, 0, 3, 2, 0, 3]","[array([4, 5, 4, 4, 4, 4]), array([2, 2, 2, 2, 3, 2]), array([7, 6, 6, 6, 6, 7]), array([7, 6, 6, 6, 6, 6]), array([5, 5, 5, 5, 5, 5]), array([5, 6, 6, 6, 6, 6]), array([4, 4, 4, 4, 4, 4]), array([6, 6, 6, 6, 5, 5]), array([4, 4, 4, 4, 4, 4]), array([6, 6, 5, 5, 5, 5])]",Agree,Agree,Agree,Agree,No,Agree,Strongly Disagree,No,Agree,Agree,No,Same,N/A,"['compromising', 'playful', 'helpful']","['delayed', 'unhelpful', 'independent', 'serious', 'opinionated']","['delayed', 'organised', 'independent', 'serious', 'opinionated', 'unhelpful', 'following', 'slowpaced', 'liberal', 'spontaneous', 'hardworking']",Agree,Agree,Same,N/A},0.12037037037037039,"[0.0, 0.016666666666666666, 0.16666666666666666, 0.23333333333333334, 2.3666666666666667, 2.433333333333333, 5.483333333333333, 5.55, 5.683333333333334, 6.45, 6.666666666666667, 7.033333333333333, 7.366666666666666, 7.916666666666667, 8.233333333333333, 8.533333333333333, 8.866666666666667, 9.25, 9.533333333333333, 9.85, 10.266666666666667, 10.316666666666666, 10.633333333333333, 10.816666666666666, 11.25, 11.866666666666667, 12.766666666666667, 12.783333333333333, 12.9, 13.316666666666666, 13.633333333333333, 14.0, 14.016666666666667]","['unfriendly / friendly', 'boring / fun']","[9, 12]",0.9061030445113443,0.9172838437433658,[],[],[]
73,kZUMwX3X ,16,10,10,38,1,21,Male,Single,"[0, 1, 11, 8, 2, 6]","[1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2]","[array([6, 6, 5, 5, 4, 4]), array([4, 4, 4, 4, 5, 5]), array([4, 5, 5, 4, 3, 3]), array([4, 3, 3, 3, 3, 4]), array([3, 3, 3, 3, 3, 3]), array([3, 3, 3, 3, 3, 3]), array([3, 3, 3, 3, 3, 3]), array([3, 3, 3, 3, 3, 3]), array([3, 3, 3, 3, 3, 3]), array([3, 3, 3, 3, 3, 3])]",Strongly agree,Agree,Strongly agree,Strongly agree,Yes,Strongly agree,Strongly agree,Yes,Strongly agree,Strongly agree,Yes,Better,no,"['punctual', 'organised', 'compromising']","['delayed', 'opinionated', 'cluttered', 'independent', 'serious']","['delayed', 'cluttered', 'independent', 'serious', 'unhelpful', 'following', 'fastpaced', 'liberal', 'spontaneous', 'lazy', 'opinionated']",Strongly agree,Strongly agree,Better,no},0.1728395061728395,"[0.0, 0.18333333333333332, 0.3333333333333333, 0.5333333333333333, 1.65, 1.75, 3.4, 3.5, 3.716666666666667, 4.8, 5.133333333333334, 5.683333333333334, 6.133333333333334, 6.45, 6.733333333333333, 7.133333333333334, 7.383333333333334, 8.0, 8.266666666666667, 10.45, 11.3, 11.35, 11.766666666666667, 11.95, 12.216666666666667, 12.45, 12.983333333333333, 13.033333333333333, 13.25, 13.683333333333334, 14.116666666666667, 14.583333333333334, 14.616666666666667]","['unfriendly / friendly', 'unsuccessful / successful']","[11, 1]",0.8987170342729173,0.7443590338668397,[],"['unsuccessful / successful', 'selfish / generous']","[2, 6]"
74,jTOiXw8o ,17,1,1,45,0,31,Male,Single,"[0, 1, 11, 8, 4, 12]","[2, 1, 1, 2, 3, 2, 3, 2, 2, 2, 2, 1, 0, 1, 2, 2]","[array([1, 7, 1, 1, 1, 1]), array([7, 7, 4, 5, 1, 1]), array([7, 7, 4, 6, 4, 4]), array([7, 7, 3, 2, 2, 2]), array([7, 7, 2, 1, 2, 2]), array([5, 7, 2, 1, 2, 1]), array([5, 7, 4, 3, 2, 5]), array([7, 7, 4, 2, 1, 2]), array([4, 7, 2, 2, 3, 3]), array([3, 7, 4, 2, 1, 1])]",Agree,Agree,Agree,Agree,Yes,Agree,Agree,No,Agree,Agree,Yes,Worse,It highlighted all the things I'm not happy with.,"['punctual', 'helpful', 'thoughtful']","['delayed', 'spontaneous', 'independent', 'fastpaced', 'unhelpful']","['delayed', 'organised', 'independent', 'serious', 'compromising', 'unhelpful', 'following', 'fastpaced', 'liberal', 'spontaneous', 'lazy']",Agree,Agree,Worse,Again it highlights all the dark things in my life,4.320987654320988,"[0.0, 0.55, 0.7666666666666667, 1.1833333333333333, 6.766666666666667, 7.716666666666667, 12.9, 12.983333333333333, 13.416666666666666, 15.033333333333333, 15.8, 17.0, 17.683333333333334, 18.35, 19.6, 20.283333333333335, 20.866666666666667, 21.966666666666665, 22.683333333333334, 23.066666666666666, 23.866666666666667, 23.933333333333334, 26.166666666666668, 27.15, 30.8, 33.0, 36.3, 36.333333333333336, 37.9, 40.083333333333336, 41.68333333333333, 42.71666666666667, 42.78333333333333]","['unambitious / motivated', 'unfriendly / friendly']","[11, 4]",,,['stubborn / docile'],"['uncaring / caring', 'selfish / generous', 'unfriendly / friendly', 'quiet / talkative', 'not understanding / understanding']","[11, 8, 4, 12]"
75,GZogc3K1 ,32,9,9,23,0,17,Female,Single,"[0, 1, 6, 8, 12, 3]","[2, 0, 1, 1, 0, 0, 2, 1, 2, 3, 1, 0, 3, 1, 1, 2]","[array([3, 6, 5, 6, 2, 4]), array([5, 7, 5, 7, 4, 7]), array([4, 6, 3, 5, 2, 6]), array([5, 6, 4, 7, 2, 7]), array([3, 5, 2, 6, 1, 3]), array([3, 6, 3, 5, 2, 4]), array([2, 5, 3, 5, 1, 4]), array([5, 6, 5, 6, 5, 6]), array([4, 6, 7, 5, 4, 5]), array([2, 6, 4, 5, 3, 4])]",Agree,Agree,Strongly agree,Agree,Yes,Strongly agree,Strongly agree,Yes,Strongly agree,Agree,Yes,Better,Nice easy questions,"['independent', 'helpful', 'hardworking']","['cluttered', 'delayed', 'teamplayer', 'unhelpful', 'lazy']","['delayed', 'cluttered', 'teamplayer', 'playful', 'opinionated', 'unhelpful', 'influential', 'fastpaced', 'liberal', 'spontaneous', 'lazy']",Agree,Strongly agree,Better,Very informative and,1.950617283950617,"[0.0, 0.03333333333333333, 0.16666666666666666, 0.23333333333333334, 1.5833333333333333, 1.6166666666666667, 4.633333333333334, 4.666666666666667, 4.733333333333333, 5.583333333333333, 5.733333333333333, 6.083333333333333, 6.366666666666666, 6.75, 7.016666666666667, 7.2, 8.333333333333334, 8.516666666666667, 8.666666666666666, 8.816666666666666, 8.966666666666667, 9.133333333333333, 9.65, 10.0, 10.216666666666667, 10.4, 10.95, 11.0, 11.05, 11.566666666666666, 11.933333333333334, 12.216666666666667, 12.25]","['uncaring / caring', 'unsuccessful / successful']","[0, 12]",0.6003336113685631,0.5834774091601884,"['unsuccessful / successful', 'uncaring / caring', 'selfish / generous', 'quiet / talkative', 'boring / fun', 'stubborn / docile', 'unambitious / motivated', 'not confident / confident']",['unfriendly / friendly'],"[6, 8, 12, 3]"
76,CLU31Zsv ,25,6,7,35,3,31,Female,Married,"[0, 1, 12, 5, 11, 8]","[1, 0, 1, 3, 0, 0, 1, 0, 2, 2, 2, 1, 0, 0, 1, 1]","[array([4, 7, 4, 1, 1, 3]), array([4, 6, 3, 6, 5, 4]), array([7, 4, 4, 5, 6, 4]), array([4, 4, 5, 2, 2, 3]), array([1, 4, 1, 1, 1, 1]), array([1, 7, 2, 1, 1, 3]), array([4, 4, 3, 6, 4, 4]), array([4, 6, 3, 2, 1, 3]), array([5, 7, 6, 5, 2, 6]), array([3, 6, 3, 4, 3, 6])]",Strongly agree,Agree,Agree,Disagree,Yes,Agree,Strongly Disagree,Yes,Agree,Agree,Yes,Same,Some information I would say are true but I am a very generous person to people I dislike so that I it can help my situation. I would say a few clearly explanation would help ,"['organised', 'hardworking', 'helpful']","['unhelpful', 'lazy', 'delayed', 'cluttered', 'independent']","['delayed', 'cluttered', 'independent', 'playful', 'opinionated', 'unhelpful', 'influential', 'slowpaced', 'liberal', 'spontaneous', 'lazy']",Agree,Agree,Same,I like to be helpful and do not take well when people are not helpful but are only for self gain . \nIt makes me have to flex my style of working with people },2.2407407407407405,[],"['boring / fun', 'unfriendly / friendly']","[8, 11]",-0.162544737058284,-0.042048220841022985,"['uncaring / caring', 'selfish / generous', 'unambitious / motivated', 'not confident / confident']","['unfriendly / friendly', 'stubborn / docile']","[5, 11]"
77,0h4wPo9t ,34,9,9,44,0,37,Female,Single,"[0, 1, 9, 13, 12, 6]","[3, 2, 3, 2, 2, 2, 3, 1, 2, 3, 2, 2, 3, 3, 3, 2]","[array([3, 6, 6, 5, 5, 6]), array([6, 7, 6, 6, 6, 6]), array([6, 6, 6, 6, 6, 6]), array([7, 7, 7, 7, 7, 7]), array([6, 6, 7, 7, 6, 6]), array([4, 7, 7, 6, 6, 6]), array([2, 6, 5, 6, 3, 5]), array([5, 6, 6, 6, 6, 6]), array([2, 6, 6, 6, 5, 5]), array([2, 7, 4, 5, 5, 5])]",Agree,Agree,Agree,Agree,Yes,Agree,Agree,Yes,Agree,Agree,Yes,Better,I really liked answering questions about myself. It made me think about how I really feel about things in my life . I wish I could read more about the meaning of my answers and learn more about myself in different situations . ,"['teamplayer', 'playful', 'thoughtful']","['delayed', 'spontaneous', 'independent', 'serious', 'unhelpful']","['delayed', 'organised', 'independent', 'serious', 'compromising', 'unhelpful', 'influential', 'fastpaced', 'conservative', 'spontaneous', 'lazy']",Agree,Agree,Better,This game is interest and fun},0.9969135802469135,"[0.0, 0.18333333333333332, 0.36666666666666664, 0.43333333333333335, 0.7, 0.8666666666666667, 1.15, 1.1666666666666667, 1.2, 1.3666666666666667, 1.4, 1.5166666666666666, 1.6333333333333333, 1.75, 1.95, 2.066666666666667, 2.2, 2.3333333333333335, 2.4833333333333334, 2.6166666666666667, 2.85, 2.933333333333333, 3.05, 3.2, 3.5, 3.683333333333333, 3.816666666666667, 3.8333333333333335, 3.8666666666666667, 4.033333333333333, 4.15, 4.233333333333333, 4.266666666666667]","['unambitious / motivated', 'not confident / confident']","[9, 12]",0.19897095972842185,0.1739092046298257,"['unsuccessful / successful', 'boring / fun', 'stubborn / docile', 'unambitious / motivated', 'not confident / confident']",[],[]
78,9a6tpwPe ,15,10,10,30,0,24,Female,Single,"[0, 1, 5, 8, 4, 7]","[1, 0, 2, 2, 1, 0, 2, 0, 2, 3, 3, 1, 1, 0, 0, 3]","[array([2, 7, 4, 1, 2, 1]), array([4, 7, 7, 6, 7, 7]), array([3, 7, 3, 7, 5, 1]), array([1, 5, 7, 4, 5, 1]), array([2, 5, 6, 2, 1, 1]), array([1, 6, 7, 2, 1, 1]), array([5, 5, 5, 2, 7, 1]), array([6, 7, 6, 6, 4, 2]), array([5, 7, 5, 7, 4, 2]), array([2, 7, 4, 1, 1, 1])]",Strongly agree,Agree,Strongly agree,Disagree,Yes,Strongly agree,Strongly agree,Yes,Strongly agree,Strongly agree,Yes,Better,I feel validated for the life changes I’m making ,"['thoughtful', 'hardworking', 'opinionated']","['compromising', 'unhelpful', 'following', 'spontaneous', 'lazy']","['delayed', 'cluttered', 'teamplayer', 'playful', 'compromising', 'unhelpful', 'following', 'slowpaced', 'liberal', 'spontaneous', 'lazy']",Strongly agree,Strongly agree,Better,I JUST had to respond today following a meeting that questioning my whimsical decision making. Had I shown my working,4.348765432098766,"[0.0, 0.06666666666666667, 0.3333333333333333, 0.35, 1.5833333333333333, 1.65, 3.7333333333333334, 3.783333333333333, 3.816666666666667, 4.566666666666666, 4.6, 5.2, 5.85, 6.416666666666667, 7.316666666666666, 7.65, 8.0, 8.65, 9.216666666666667, 9.7, 10.2, 10.266666666666667, 10.516666666666667, 10.933333333333334, 11.966666666666667, 12.183333333333334, 13.083333333333334, 13.1, 13.166666666666666, 14.366666666666667, 15.6, 15.866666666666667, 15.933333333333334]","['unambitious / motivated', 'not understanding / understanding']","[7, 1]",0.30718954248366004,0.11638288412828242,"['uncaring / caring', 'selfish / generous', 'unfriendly / friendly', 'unambitious / motivated']","['stubborn / docile', 'not understanding / understanding']","[8, 4, 7]"
79,SZN1eP9l ,13,10,10,34,3,15,Female,Single,"[0, 1, 11, 12, 13, 9]","[1, 2, 2, 2, 1, 2, 2, 1, 2, 1, 0, 0, 3, 2, 1, 3]","[array([5, 7, 6, 5, 6, 5]), array([7, 7, 7, 7, 7, 7]), array([6, 6, 6, 4, 5, 4]), array([7, 7, 7, 6, 7, 7]), array([7, 6, 7, 5, 7, 7]), array([6, 6, 7, 5, 7, 7]), array([4, 7, 6, 6, 5, 5]), array([7, 7, 7, 6, 7, 7]), array([5, 7, 7, 7, 6, 6]), array([6, 7, 7, 5, 7, 5])]",Agree,Agree,Agree,Agree,Yes,Agree,Agree,Yes,Agree,Agree,Yes,Same,Very interesting. I would recommend ,"['organised', 'teamplayer', 'punctual']","['cluttered', 'spontaneous', 'following', 'delayed', 'independent']","['delayed', 'cluttered', 'independent', 'serious', 'opinionated', 'unhelpful', 'following', 'fastpaced', 'conservative', 'spontaneous', 'lazy']",Agree,Agree,Same,Interesting exercise },0.5617283950617283,"[0.0, 0.11666666666666667, 0.38333333333333336, 1.2666666666666666, 5.033333333333333, 5.166666666666667, 10.083333333333334, 10.133333333333333, 10.816666666666666, 12.6, 13.05, 14.233333333333333, 14.866666666666667, 15.833333333333334, 16.65, 17.55, 18.35, 18.883333333333333, 19.733333333333334, 20.383333333333333, 21.133333333333333, 21.233333333333334, 22.166666666666668, 22.7, 23.716666666666665, 24.233333333333334, 25.933333333333334, 25.966666666666665, 26.466666666666665, 27.083333333333332, 27.933333333333334, 28.316666666666666, 28.416666666666668]","['quiet / talkative', 'not confident / confident']","[0, 12]",-0.2182178902359924,0.11012445932174401,"['unsuccessful / successful', 'stubborn / docile', 'unambitious / motivated']","['selfish / generous', 'quiet / talkative', 'not confident / confident']","[12, 9]"
80,lY74vHI1 ,69,10,10,32,0,17,Male,Single,"[0, 1, 13, 12, 8, 11]","[1, 1, 1, 0, 0, 0, 2, 0, 2, 0, 1, 1, 0, 1, 0, 1]","[array([5, 6, 3, 3, 6, 6]), array([7, 1, 7, 7, 5, 7]), array([7, 1, 7, 7, 5, 7]), array([5, 5, 5, 5, 4, 5]), array([5, 4, 3, 3, 4, 4]), array([5, 6, 4, 2, 6, 5]), array([2, 5, 3, 2, 4, 4]), array([4, 6, 2, 1, 6, 6]), array([5, 7, 1, 5, 7, 7]), array([5, 7, 5, 6, 4, 4])]",Strongly agree,Agree,Strongly agree,Agree,No,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,No,Better,nice to know that i have good things about me and accurately and open on what i want to improve ,"['helpful', 'influential', 'opinionated']","['independent', 'following', 'serious', 'unhelpful', 'compromising']","['independent', 'following', 'conservative', 'punctual', 'organised', 'serious', 'compromising', 'unhelpful', 'slowpaced', 'thoughtful', 'hardworking']",Strongly agree,Strongly agree,Better,.},2.2500000000000004,"[0.0, 0.016666666666666666, 0.16666666666666666, 0.43333333333333335, 2.0, 2.1, 5.35, 5.466666666666667, 5.766666666666667, 6.65, 7.0, 7.816666666666666, 9.033333333333333, 10.15, 10.833333333333334, 11.283333333333333, 11.8, 12.55, 13.183333333333334, 14.216666666666667, 15.133333333333333, 15.25, 16.066666666666666, 16.683333333333334, 17.033333333333335, 17.466666666666665, 19.9, 19.983333333333334, 20.516666666666666, 21.866666666666667, 22.7, 23.066666666666666, 23.116666666666667]","['uncaring / caring', 'selfish / generous']","[13, 11]",-0.6068333272440023,-0.4009116866939129,"['stubborn / docile', 'not understanding / understanding', 'unambitious / motivated', 'not confident / confident']","['unsuccessful / successful', 'quiet / talkative', 'boring / fun']","[13, 12]"
81,oWck82z6 ,19,7,8,43,1,22,Female,Married,"[0, 1, 11, 9, 4, 12]","[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1]","[array([5, 7, 5, 5, 4, 5]), array([6, 7, 6, 6, 3, 5]), array([5, 7, 6, 6, 4, 5]), array([6, 7, 5, 6, 4, 5]), array([6, 7, 6, 6, 5, 5]), array([5, 7, 6, 6, 4, 5]), array([5, 6, 6, 6, 5, 5]), array([5, 6, 6, 6, 5, 5]), array([5, 7, 6, 6, 4, 5]), array([5, 7, 5, 6, 4, 5])]",Agree,Agree,Agree,Agree,Yes,Agree,Agree,Yes,Agree,Agree,Yes,Same,No,"['delayed', 'cluttered', 'slow-paced']","['punctual', 'compromising', 'organised', 'fastpaced', 'spontaneous']","['lazy', 'spontaneous', 'liberal', 'fastpaced', 'unhelpful', 'compromising', 'independent', 'organised', 'punctual', 'serious', 'following']",Agree,Agree},Better,None,0.7037037037037036,"[0.0, 1.2833333333333334, 1.55, 2.1, 6.433333333333334, 6.716666666666667, 11.433333333333334, 11.533333333333333, 12.166666666666666, 14.3, 14.616666666666667, 16.066666666666666, 16.733333333333334, 17.533333333333335, 18.083333333333332, 19.05, 19.8, 20.733333333333334, 21.3, 21.983333333333334, 22.95, 23.116666666666667, 24.066666666666666, 24.5, 25.45, 26.116666666666667, 29.616666666666667, 29.733333333333334, 29.966666666666665, 31.033333333333335, 32.13333333333333, 32.36666666666667, 32.43333333333333]","['stubborn / docile', 'not understanding / understanding']","[11, 9]",0.3273268353539885,,"['unsuccessful / successful', 'selfish / generous', 'boring / fun', 'unambitious / motivated', 'not confident / confident']","['uncaring / caring', 'unfriendly / friendly', 'quiet / talkative']","[4, 12, 11]"
